Athlete,Year,Event,Event Type,Final/Heat,Country,Age,gender,Rank,Lane,100m,100m CT,RT
Category_5,26,Category_9,Youth Olympic,F,Category_4,15.67,m,-2.5,6.795,25.612,Category_1,0.708
Category_9,20,Category_7,Junior,F,Category_6,24.026,m,9.396,4.648,27.075,Category_1,0.684
Category_7,32,Category_7,Series,F,Category_1,12.461,m,13.653,4.58,28.848,Category_4,0.604
Category_2,33,Category_1,Series,F,Category_5,15.281,m,15.071,5.129,29.476,Category_2,0.611
Category_4,31,Category_6,Junior,H,Category_4,22.207,m,47.663,7.198,24.21,Category_7,0.61
Category_9,20,Category_7,25m,SF,Category_4,21.657,m,41.792,4.22,22.966,Category_2,0.611
Category_2,29,Category_6,25m,SF,Category_7,16.192,m,27.5,5.915,28.542,Category_7,0.615
Category_9,26,Category_6,Youth Olympic,F,Category_9,25.744,m,29.265,5.688,27.096,Category_8,0.702
Category_5,24,Category_2,Youth Olympic,H,Category_8,15.816,m,63.901,3.238,27.2,Category_8,0.668
Category_2,26,Category_6,World Cup,H,Category_8,19.558,m,-4.477,6.516,28.595,Category_3,0.704
Category_4,30,Category_4,World Championships,H,Category_5,19.01,m,55.156,-0.333,25.074,Category_9,0.614
Category_7,22,Category_9,Junior,H,Category_6,19.026,m,-27.954,7.391,26.318,Category_6,0.595
Category_8,30,Category_1,Series,H,Category_2,19.613,m,16.321,1.831,27.984,Category_4,0.626
Category_3,21,Category_8,Junior,H,Category_3,19.489,m,75.81,4.432,24.767,Category_8,0.696
Category_1,19,Category_5,Youth Olympic,F,Category_5,19.438,m,41.152,6.817,25.658,Category_4,0.698
Category_4,33,Category_1,Youth Olympic,SF,Category_2,19.668,m,19.164,3.722,27.07,Category_4,0.654
Category_2,26,Category_4,World Cup,SF,Category_3,24.912,m,58.756,5.352,27.984,Category_8,0.679
Category_8,26,Category_1,World Championships,F,Category_4,19.459,m,49.582,6.857,23.686,Category_4,0.642
Category_4,23,Category_6,World Cup,SF,Category_6,23.284,m,48.422,9.329,28.297,Category_1,0.632
Category_2,28,Category_2,Series,H,Category_5,21.037,m,26.764,4.737,27.795,Category_6,0.682
Category_6,18,Category_5,World Championships,H,Category_4,21.936,m,60.034,5.218,25.004,Category_8,0.694
Category_6,21,Category_7,Olympic,SF,Category_2,23.64,m,14.086,4.874,31.749,Category_3,0.745
Category_4,30,Category_2,Junior,H,Category_5,15.703,m,12.731,4.229,24.768,Category_2,0.62
Category_6,30,Category_6,World Cup,H,Category_5,23.017,m,86.229,1.458,28.444,Category_6,0.614
Category_2,30,Category_6,Youth Olympic,SF,Category_7,19.543,m,18.211,2.012,27.447,Category_1,0.642
Category_2,19,Category_5,World Cup,F,Category_1,16.445,m,-25.677,4.739,25.939,Category_5,0.692
Category_4,26,Category_5,Olympic,SF,Category_4,23.631,m,62.972,5.615,27.038,Category_6,0.754
Category_8,25,Category_3,World Cup,SF,Category_5,18.661,m,71.533,7.883,28.006,Category_8,0.671
Category_7,24,Category_2,Junior,SF,Category_8,21.983,m,25.779,4.258,33.07,Category_7,0.626
Category_9,21,Category_7,Olympic,SF,Category_8,9.198,m,-27.47,8.542,23.681,Category_6,0.613
Category_8,20,Category_1,Youth Olympic,F,Category_1,23.425,m,30.951,1.806,20.926,Category_2,0.638
Category_5,23,Category_6,Youth Olympic,F,Category_5,31.138,m,91.902,5.292,24.638,Category_8,0.675
Category_2,29,Category_6,25m,H,Category_1,20.389,m,38.336,4.116,26.776,Category_8,0.696
Category_5,29,Category_3,Olympic,H,Category_1,19.331,m,54.574,1.54,28.293,Category_5,0.674
Category_8,25,Category_2,25m,SF,Category_2,18.512,m,56.22,0.602,27.052,Category_3,0.632
Category_9,18,Category_2,25m,H,Category_2,22.72,m,60.359,3.703,26.509,Category_8,0.606
Category_9,21,Category_9,Junior,F,Category_9,19.163,m,85.892,3.888,30.194,Category_5,0.694
Category_1,28,Category_5,World Cup,H,Category_4,23.101,m,63.477,2.586,25.116,Category_3,0.64
Category_9,20,Category_7,Youth Olympic,H,Category_3,27.548,m,30.22,6.651,30.469,Category_9,0.643
Category_7,30,Category_5,Youth Olympic,H,Category_1,23.901,m,0.564,3.775,28.195,Category_9,0.619
Category_9,34,Category_7,World Cup,SF,Category_2,19.698,m,44.844,2.343,30.113,Category_7,0.595
Category_8,27,Category_4,Youth Olympic,H,Category_6,15.806,m,26.991,4.193,24.784,Category_8,0.738
Category_1,29,Category_8,World Cup,F,Category_9,18.732,m,53.068,3.219,26.073,Category_5,0.635
Category_8,32,Category_7,Olympic,F,Category_5,19.756,m,7.812,8.833,23.653,Category_5,0.576
Category_8,27,Category_5,Junior,F,Category_4,14.965,m,23.921,3.997,27.496,Category_5,0.672
Category_3,31,Category_6,Junior,F,Category_5,24.919,m,32.853,2.513,27.542,Category_2,0.658
Category_1,30,Category_5,Series,H,Category_9,22.776,m,5.626,8.829,31.224,Category_3,0.581
Category_8,22,Category_7,Junior,SF,Category_7,16.082,m,33.675,6.561,27.018,Category_8,0.716
Category_3,23,Category_2,World Cup,F,Category_8,13.059,m,55.075,5.036,23.531,Category_6,0.694
Category_3,19,Category_5,Series,F,Category_4,23.391,m,87.256,2.812,28.902,Category_9,0.702
Category_1,34,Category_3,World Cup,SF,Category_8,13.621,m,11.467,6.664,24.849,Category_7,0.676
Category_5,21,Category_9,World Championships,SF,Category_6,20.768,m,58.484,1.168,24.072,Category_6,0.606
Category_7,31,Category_6,Series,F,Category_5,18.727,m,-24.135,6.483,28.373,Category_4,0.662
Category_9,27,Category_3,Youth Olympic,F,Category_7,23.731,m,32.317,5.391,25.166,Category_7,0.643
Category_7,20,Category_7,Youth Olympic,SF,Category_6,23.779,m,34.557,7.214,25.535,Category_4,0.635
Category_9,20,Category_4,World Championships,F,Category_3,17.023,m,55.859,-1.043,29.901,Category_7,0.738
Category_8,32,Category_3,World Championships,F,Category_5,24.095,m,17.645,2.506,27.962,Category_5,0.62
Category_2,23,Category_8,Junior,H,Category_9,19.223,m,39.545,2.311,28.144,Category_2,0.644
Category_1,34,Category_4,World Championships,SF,Category_7,20.5,m,64.288,2.019,23.838,Category_7,0.666
Category_7,29,Category_1,World Cup,H,Category_4,20.584,m,0.239,5.822,28.381,Category_8,0.682
Category_7,28,Category_6,25m,H,Category_7,29.723,m,-23.577,4.047,26.236,Category_2,0.74
Category_8,21,Category_1,World Cup,SF,Category_5,19.927,m,63.46,2.627,25.873,Category_6,0.657
Category_5,23,Category_5,Series,H,Category_2,13.503,m,3.955,2.056,27.733,Category_4,0.678
Category_3,18,Category_7,World Championships,F,Category_6,17.464,m,45.624,2.406,26.86,Category_5,0.61
Category_8,33,Category_6,Youth Olympic,H,Category_7,23.475,m,88.401,6.908,23.649,Category_1,0.69
Category_6,32,Category_2,World Cup,SF,Category_8,19.246,m,56.494,4.61,28.919,Category_6,0.751
Category_3,34,Category_4,Youth Olympic,F,Category_6,20.483,m,4.705,6.823,29.127,Category_8,0.645
Category_1,25,Category_2,World Cup,F,Category_8,18.634,m,-9.359,11.342,25.56,Category_2,0.7
Category_3,29,Category_1,Youth Olympic,F,Category_7,8.767,m,10.23,4.73,28.17,Category_1,0.601
Category_5,27,Category_3,Olympic,F,Category_2,17.202,m,37.484,1.282,28.835,Category_9,0.649
Category_3,32,Category_3,World Cup,H,Category_6,20.101,m,25.373,4.437,22.764,Category_2,0.651
Category_1,26,Category_7,Series,H,Category_9,13.1,m,71.549,9.405,25.717,Category_8,0.68
Category_5,19,Category_1,Youth Olympic,F,Category_6,15.543,m,51.645,7.453,22.091,Category_5,0.658
Category_7,22,Category_9,25m,SF,Category_4,19.014,m,11.601,3.182,28.225,Category_2,0.715
Category_7,23,Category_6,Series,F,Category_7,19.05,m,56.772,4.025,27.816,Category_5,0.641
Category_9,24,Category_4,Junior,H,Category_3,22.053,m,75.69,6.684,25.412,Category_9,0.697
Category_3,18,Category_3,World Cup,F,Category_5,19.276,m,23.506,5.956,26.514,Category_6,0.672
Category_7,24,Category_3,25m,H,Category_1,21.901,m,46.272,6.711,26.038,Category_3,0.616
Category_1,29,Category_2,Junior,F,Category_3,17.525,m,7.477,4.185,22.39,Category_8,0.565
Category_4,33,Category_2,World Cup,SF,Category_8,21.297,m,28.472,5.732,29.679,Category_1,0.671
Category_4,33,Category_5,25m,F,Category_9,26.508,m,6.978,4.022,27.398,Category_9,0.634
Category_5,28,Category_9,25m,SF,Category_9,21.617,m,68.037,8.209,26.527,Category_9,0.677
Category_7,21,Category_2,Series,SF,Category_2,19.449,m,18.157,1.013,26.541,Category_4,0.608
Category_7,30,Category_2,Olympic,F,Category_4,16.52,m,45.139,1.02,28.386,Category_8,0.688
Category_4,24,Category_6,25m,SF,Category_5,20.781,m,50.732,3.013,23.379,Category_3,0.735
Category_7,21,Category_2,Olympic,SF,Category_3,19.519,m,121.605,3.103,24.932,Category_6,0.654
Category_3,32,Category_4,World Championships,H,Category_1,22.747,m,24.92,1.012,27.306,Category_8,0.575
Category_6,26,Category_6,Series,H,Category_6,12.883,m,10.268,0.569,29.275,Category_9,0.662
Category_2,28,Category_5,Youth Olympic,SF,Category_2,19.643,m,30.464,7.408,21.583,Category_8,0.633
Category_9,25,Category_1,Series,F,Category_9,22.156,m,8.166,4.363,29.015,Category_9,0.622
Category_5,18,Category_6,Junior,SF,Category_1,20.956,m,18.567,4.176,25.297,Category_4,0.655
Category_6,25,Category_1,Youth Olympic,F,Category_9,19.045,m,53.372,4.913,26.216,Category_1,0.709
Category_4,30,Category_3,Youth Olympic,H,Category_7,18.988,m,13.29,8.713,26.915,Category_7,0.639
Category_7,21,Category_5,Olympic,F,Category_2,15.874,m,48.633,5.061,24.431,Category_4,0.696
Category_9,25,Category_5,Youth Olympic,SF,Category_6,21.989,m,49.62,4.5,24.135,Category_1,0.655
Category_7,20,Category_6,25m,SF,Category_8,22.179,m,39.677,3.203,27.294,Category_3,0.66
Category_1,26,Category_8,Olympic,SF,Category_2,14.574,m,51.714,6.251,30.976,Category_7,0.713
Category_1,19,Category_5,Youth Olympic,SF,Category_5,23.585,m,24.099,4.616,24.777,Category_3,0.652
Category_9,19,Category_1,Olympic,SF,Category_6,17.713,m,-24.844,8.846,24.76,Category_1,0.699
Category_9,30,Category_5,World Championships,F,Category_3,18.865,m,34.231,4.378,24.172,Category_7,0.654
Category_4,32,Category_3,Olympic,SF,Category_2,28.092,m,34.776,7.258,26.349,Category_8,0.69
Category_9,29,Category_4,World Cup,H,Category_6,27.049,m,21.928,3.022,24.698,Category_5,0.653
Category_3,21,Category_8,25m,SF,Category_3,14.436,m,51.094,2.998,24.745,Category_6,0.672
Category_7,25,Category_7,Junior,F,Category_2,15.129,m,54.429,0.272,27.3,Category_3,0.676
Category_6,26,Category_5,World Cup,SF,Category_1,16.072,m,38.783,6.732,23.69,Category_5,0.695
Category_8,22,Category_2,World Cup,SF,Category_8,26.984,m,35.359,4.68,30.381,Category_3,0.686
Category_9,28,Category_6,World Cup,F,Category_1,17.909,m,67.45,6.351,24.276,Category_2,0.627
Category_5,32,Category_6,Youth Olympic,SF,Category_5,14.321,m,1.764,8.955,29.31,Category_7,0.746
Category_1,26,Category_6,Olympic,F,Category_6,25.521,m,23.039,2.688,31.146,Category_7,0.666
Category_3,34,Category_9,Olympic,SF,Category_3,22.879,m,61.119,2.315,29.456,Category_8,0.706
Category_8,29,Category_8,Series,H,Category_7,29.735,m,47.882,2.835,29.184,Category_1,0.557
Category_6,24,Category_8,Youth Olympic,SF,Category_2,22.87,m,25.799,-0.41,28.579,Category_2,0.7
Category_8,27,Category_1,25m,F,Category_7,20.289,m,43.722,4.298,27.308,Category_2,0.699
Category_9,27,Category_5,Youth Olympic,H,Category_2,21.467,m,16.827,6.954,29.413,Category_3,0.675
Category_4,30,Category_7,Youth Olympic,F,Category_5,18.547,m,37.153,4.895,26.273,Category_7,0.563
Category_1,28,Category_6,Youth Olympic,SF,Category_7,25.823,m,52.245,0.903,28.729,Category_7,0.632
Category_1,30,Category_5,25m,H,Category_3,26.041,m,69.544,3.895,29.258,Category_7,0.619
Category_4,25,Category_8,Series,F,Category_4,13.871,m,51.467,5.083,27.951,Category_1,0.717
Category_7,25,Category_3,25m,H,Category_1,24.321,m,71.599,7.147,26.254,Category_2,0.611
Category_2,21,Category_6,World Championships,H,Category_3,15.989,m,-8.797,6.737,27.907,Category_8,0.689
Category_3,32,Category_5,Series,F,Category_9,30.408,m,-30.859,3.923,26.036,Category_9,0.651
Category_1,28,Category_8,World Championships,H,Category_5,26.698,m,-29.992,3.919,25.655,Category_7,0.713
Category_5,28,Category_4,World Championships,F,Category_8,15.712,m,64.507,6.239,28.56,Category_1,0.675
Category_1,18,Category_8,World Championships,H,Category_2,21.41,m,49.828,3.312,27.16,Category_4,0.636
Category_8,34,Category_2,Olympic,H,Category_3,24.53,m,11.954,6.882,28.534,Category_8,0.63
Category_1,32,Category_9,World Cup,H,Category_7,17.84,m,21.506,3.15,27.174,Category_5,0.645
Category_1,23,Category_9,World Cup,SF,Category_4,14.768,m,42.173,8.597,27.953,Category_1,0.526
Category_2,32,Category_6,World Championships,SF,Category_9,20.842,m,11.811,5.354,29.892,Category_7,0.744
Category_2,26,Category_4,World Championships,F,Category_7,19.762,m,9.121,-0.055,26.488,Category_6,0.723
Category_6,31,Category_4,Junior,H,Category_1,16.638,m,13.78,6.353,25.961,Category_9,0.668
Category_7,34,Category_6,World Cup,F,Category_4,25.536,m,11.318,5.402,27.779,Category_4,0.707
Category_5,22,Category_5,Junior,SF,Category_6,15.088,m,33.799,5.973,21.215,Category_4,0.663
Category_1,26,Category_6,Series,SF,Category_6,19.975,m,80.177,10.324,28.388,Category_8,0.684
Category_1,28,Category_7,Junior,SF,Category_6,21.173,m,3.68,4.13,24.961,Category_4,0.709
Category_3,18,Category_7,Youth Olympic,SF,Category_5,21.7,m,30.435,0.948,30.498,Category_3,0.654
Category_2,23,Category_9,Olympic,F,Category_3,25.1,m,45.729,7.898,28.565,Category_7,0.699
Category_5,19,Category_8,Series,H,Category_2,19.428,m,47.876,0.389,28.84,Category_5,0.584
Category_6,32,Category_6,25m,F,Category_3,9.649,m,18.04,2.935,28.892,Category_9,0.674
Category_7,31,Category_6,World Cup,H,Category_9,18.821,m,50.258,4.878,25.84,Category_5,0.664
Category_4,22,Category_5,World Championships,SF,Category_3,23.424,m,44.566,2.559,26.274,Category_9,0.649
Category_7,23,Category_1,Series,H,Category_3,19.825,m,19.605,4.617,23.15,Category_6,0.655
Category_8,23,Category_9,World Championships,SF,Category_1,19.855,m,-6.221,4.44,30.102,Category_6,0.654
Category_1,31,Category_9,25m,F,Category_2,22.598,m,-0.222,8.559,24.031,Category_6,0.714
Category_6,27,Category_9,Series,H,Category_3,23.144,m,53.901,-1.194,26.809,Category_7,0.662
Category_8,31,Category_8,World Cup,F,Category_2,13.03,m,73.417,4.99,29.514,Category_4,0.791
Category_5,30,Category_3,Series,SF,Category_8,20.344,m,32.554,2.505,30.189,Category_4,0.622
Category_4,20,Category_1,World Championships,F,Category_6,19.613,m,72.696,3.388,26.294,Category_9,0.689
Category_2,23,Category_8,World Championships,SF,Category_7,20.732,m,31.032,6.451,23.119,Category_7,0.705
Category_6,25,Category_7,Youth Olympic,SF,Category_1,12.271,m,-0.255,6.051,27.346,Category_6,0.647
Category_6,29,Category_5,Junior,SF,Category_6,25.896,m,26.532,5.619,27.568,Category_1,0.61
Category_1,30,Category_7,Series,F,Category_2,20.449,m,75.273,1.675,27.766,Category_7,0.644
Category_9,28,Category_4,World Championships,F,Category_6,22.18,m,15.244,7.698,26.175,Category_6,0.605
Category_6,29,Category_9,Olympic,H,Category_3,27.728,m,28.638,2.616,26.54,Category_4,0.628
Category_3,18,Category_2,World Cup,H,Category_7,22.22,m,66.5,8.191,25.327,Category_8,0.682
Category_4,34,Category_9,Olympic,F,Category_3,14.049,m,64.528,3.174,27.188,Category_7,0.781
Category_4,33,Category_9,25m,F,Category_9,20.063,m,41.297,7.315,28.591,Category_8,0.742
Category_3,28,Category_5,Series,F,Category_3,23.214,m,47.85,5.025,27.416,Category_9,0.637
Category_3,30,Category_1,Youth Olympic,F,Category_7,20.655,m,62.982,0.649,26.746,Category_1,0.707
Category_3,28,Category_7,World Cup,SF,Category_4,27.483,m,41.373,3.898,29.293,Category_3,0.648
Category_4,29,Category_4,Youth Olympic,SF,Category_8,16.879,m,69.218,8.97,27.401,Category_2,0.625
Category_7,23,Category_9,Junior,SF,Category_2,25.573,m,51.783,6.804,26.909,Category_3,0.661
Category_4,26,Category_6,World Championships,F,Category_8,23.893,m,28.296,3.702,27.011,Category_2,0.566
Category_9,33,Category_3,World Cup,SF,Category_9,20.788,m,44.981,7.987,24.201,Category_6,0.589
Category_1,21,Category_6,25m,SF,Category_8,21.792,m,21.49,5.469,24.463,Category_9,0.705
Category_8,20,Category_6,Series,H,Category_6,16.376,m,4.871,8.823,26.57,Category_2,0.726
Category_7,33,Category_5,Junior,H,Category_1,19.15,m,-0.168,4.579,25.233,Category_4,0.553
Category_2,29,Category_2,Junior,SF,Category_7,22.809,m,26.614,4.055,26.743,Category_5,0.73
Category_8,28,Category_2,Youth Olympic,SF,Category_1,19.804,m,41.499,7.21,28.711,Category_5,0.716
Category_1,22,Category_7,Junior,SF,Category_7,20.67,m,84.131,5.395,28.381,Category_1,0.649
Category_9,23,Category_2,World Cup,F,Category_2,24.528,m,44.453,6.148,27.698,Category_6,0.685
Category_9,23,Category_6,Youth Olympic,H,Category_8,12.53,m,38.019,2.649,28.685,Category_5,0.746
Category_2,21,Category_5,Junior,H,Category_2,21.95,m,29.678,7.661,29.089,Category_6,0.719
Category_7,29,Category_4,Series,H,Category_3,27.772,m,22.295,7.195,29.011,Category_4,0.687
Category_3,19,Category_7,25m,SF,Category_3,18.862,m,36.279,8.105,28.957,Category_6,0.636
Category_7,34,Category_8,Series,F,Category_1,15.273,m,24.633,1.423,24.226,Category_9,0.646
Category_9,28,Category_4,Olympic,H,Category_5,18.811,m,23.226,1.909,22.715,Category_1,0.696
Category_4,28,Category_1,World Cup,H,Category_5,14.144,m,56.047,2.934,25.139,Category_6,0.689
Category_1,33,Category_1,25m,F,Category_5,21.355,m,6.535,4.185,25.845,Category_1,0.717
Category_2,19,Category_1,25m,SF,Category_9,20.116,m,25.373,1.489,28.868,Category_7,0.6
Category_1,19,Category_1,Youth Olympic,SF,Category_6,21.74,m,12.833,6.345,26.631,Category_4,0.684
Category_5,25,Category_5,World Championships,H,Category_6,19.878,m,35.902,3.694,25.795,Category_6,0.697
Category_5,30,Category_4,Youth Olympic,H,Category_3,21.232,m,56.992,7.87,27.198,Category_7,0.654
Category_7,27,Category_9,World Cup,F,Category_5,22.285,m,42.56,9.947,28.011,Category_5,0.771
Category_9,25,Category_3,World Cup,H,Category_7,15.466,m,26.204,3.31,28.534,Category_9,0.626
Category_9,21,Category_7,Youth Olympic,F,Category_3,21.853,m,59.474,2.883,25.94,Category_8,0.662
Category_3,32,Category_8,World Championships,H,Category_2,26.413,m,57.821,6.616,24.753,Category_3,0.697
Category_3,18,Category_6,Series,H,Category_5,16.442,m,33.664,5.013,25.143,Category_1,0.703
Category_3,28,Category_1,Youth Olympic,H,Category_3,21.697,m,78.171,5.685,27.104,Category_8,0.653
Category_4,24,Category_8,World Cup,SF,Category_5,25.778,m,44.548,8.051,24.546,Category_4,0.653
Category_8,34,Category_3,World Championships,F,Category_9,15.642,m,43.775,4.105,28.911,Category_7,0.696
Category_6,29,Category_8,World Cup,F,Category_1,23.722,m,-1.923,2.148,24.567,Category_4,0.685
Category_8,26,Category_4,World Championships,SF,Category_4,19.502,m,-15.703,1.742,23.443,Category_7,0.669
Category_1,22,Category_8,World Championships,SF,Category_5,24.606,m,34.35,4.337,27.18,Category_1,0.581
Category_8,27,Category_1,Youth Olympic,SF,Category_2,17.01,m,61.103,3.907,26.239,Category_1,0.671
Category_4,21,Category_3,Youth Olympic,F,Category_2,20.384,m,41.944,6.906,27.87,Category_2,0.737
Category_1,22,Category_6,Youth Olympic,H,Category_1,14.138,m,59.775,8.206,25.753,Category_5,0.691
Category_8,27,Category_9,World Championships,SF,Category_8,22.231,m,20.686,8.197,27.721,Category_6,0.63
Category_4,28,Category_2,World Championships,SF,Category_2,22.278,m,34.896,3.047,29.039,Category_2,0.599
Category_6,27,Category_1,World Cup,SF,Category_3,22.659,m,33.011,2.795,25.481,Category_1,0.707
Category_8,25,Category_3,25m,H,Category_2,22.455,m,-19.078,0.305,27.96,Category_9,0.644
Category_4,19,Category_4,Youth Olympic,H,Category_4,20.044,m,83.784,4.782,30.76,Category_7,0.724
Category_3,25,Category_5,Olympic,SF,Category_1,14.307,m,66.842,6.955,28.524,Category_8,0.723
Category_9,33,Category_3,World Cup,H,Category_3,24.526,m,59.132,3.033,25.111,Category_6,0.658
Category_3,22,Category_2,World Cup,SF,Category_5,20.262,m,69.345,1.127,27.572,Category_9,0.679
Category_9,20,Category_2,Junior,H,Category_1,22.049,m,19.156,9.422,24.002,Category_8,0.685
Category_2,29,Category_7,Youth Olympic,F,Category_4,19.655,m,55.331,3.037,24.316,Category_4,0.611
Category_2,30,Category_9,Series,F,Category_6,28.526,m,19.09,4.497,30.096,Category_5,0.741
Category_2,30,Category_2,World Cup,H,Category_4,18.072,m,36.773,3.625,27.731,Category_2,0.687
Category_6,27,Category_7,Junior,F,Category_7,17.913,m,-17.38,1.488,30.198,Category_1,0.671
Category_3,21,Category_7,Olympic,F,Category_7,13.96,m,28.27,6.997,27.771,Category_6,0.709
Category_9,26,Category_7,Olympic,F,Category_6,20.888,m,-11.307,0.464,25.652,Category_3,0.678
Category_4,19,Category_3,Series,SF,Category_9,28.111,m,-3.397,7.545,26.936,Category_4,0.616
Category_1,18,Category_7,Youth Olympic,H,Category_2,20.939,m,30.994,5.435,27.427,Category_1,0.628
Category_4,24,Category_1,World Championships,H,Category_8,21.361,m,12.257,4.112,31.671,Category_6,0.568
Category_1,34,Category_1,Junior,H,Category_8,24.448,m,42.244,4.153,28.375,Category_8,0.667
Category_5,20,Category_5,World Championships,F,Category_4,21.092,m,80.519,5.894,25.219,Category_4,0.689
Category_4,20,Category_2,Olympic,SF,Category_6,25.383,m,14.721,3.19,26.42,Category_8,0.656
Category_8,20,Category_9,Olympic,H,Category_6,25.998,m,24.947,5.21,27.873,Category_3,0.613
Category_8,34,Category_7,25m,F,Category_5,17.968,m,51.57,2.586,24.468,Category_7,0.642
Category_7,24,Category_4,25m,SF,Category_1,14.502,m,13.341,-0.527,26.803,Category_3,0.648
Category_3,31,Category_4,Series,SF,Category_3,23.274,m,12.037,6.295,26.395,Category_6,0.703
Category_1,34,Category_2,25m,H,Category_7,21.756,m,19.8,10.781,27.901,Category_4,0.729
Category_1,30,Category_5,25m,H,Category_8,16.094,m,57.769,6.169,26.626,Category_6,0.542
Category_3,21,Category_4,Series,F,Category_2,17.616,m,-18.125,4.658,23.791,Category_7,0.661
Category_6,18,Category_1,World Cup,H,Category_3,17.603,m,8.253,3.797,26.742,Category_8,0.637
Category_7,18,Category_8,25m,F,Category_4,21.031,m,76.391,3.874,28.518,Category_6,0.653
Category_6,30,Category_3,World Cup,SF,Category_5,24.548,m,-56.255,3.797,29.995,Category_4,0.702
Category_6,27,Category_6,World Cup,SF,Category_3,24.78,m,28.884,5.265,28.941,Category_9,0.642
Category_6,28,Category_4,Youth Olympic,SF,Category_5,23.693,m,76.364,-1.107,23.36,Category_7,0.695
Category_3,26,Category_9,World Cup,SF,Category_8,19.213,m,87.252,-1.535,23.926,Category_9,0.754
Category_6,26,Category_7,World Cup,H,Category_8,29.607,m,55.434,5.886,24.535,Category_3,0.644
Category_8,22,Category_9,25m,H,Category_2,20.559,m,66.105,4.284,30.126,Category_5,0.655
Category_2,18,Category_3,World Cup,F,Category_6,18.812,m,5.356,2.345,27.921,Category_1,0.654
Category_5,34,Category_1,World Championships,F,Category_4,14.769,m,7.71,2.277,32.6,Category_8,0.771
Category_1,19,Category_5,Series,F,Category_9,18.983,m,81.642,3.4,29.644,Category_1,0.642
Category_1,30,Category_3,25m,F,Category_2,22.237,m,24.974,3.743,27.05,Category_1,0.73
Category_5,26,Category_6,Series,F,Category_8,13.858,m,-21.243,8.282,25.848,Category_7,0.663
Category_3,21,Category_8,Junior,SF,Category_1,16.473,m,44.52,2.137,27.658,Category_8,0.672
Category_4,22,Category_4,25m,SF,Category_6,18.487,m,27.061,6.657,28.677,Category_3,0.702
